Month,DayofMonth,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1,11,1110.0,1010,1225.0,1128,YV,7159,N592ML,75.0,78.0,46.0,57.0,60.0,CLE,IAD,288,10.0,19.0,0,N,0,0.0,0.0,0.0,0.0,57.0
1,7,1119.0,1105,1414.0,1405,WN,968,N399WN,115.0,120.0,101.0,9.0,14.0,HOU,TPA,781,4.0,10.0,0,N,0,0.0,0.0,0.0,0.0,0.0
1,18,1134.0,1120,1321.0,1310,MQ,3950,N611AE,107.0,110.0,94.0,11.0,14.0,ORD,LIT,552,3.0,10.0,0,N,0,0.0,0.0,0.0,0.0,0.0
1,1,1030.0,1020,1540.0,1545,AA,2218,N409AA,190.0,205.0,177.0,-5.0,10.0,SJC,DFW,1438,3.0,10.0,0,N,0,0.0,0.0,0.0,0.0,0.0
1,13,927.0,910,1052.0,1035,MQ,3156,N800AE,85.0,85.0,63.0,17.0,17.0,SJC,SAN,417,9.0,13.0,0,N,0,7.0,0.0,0.0,0.0,10.0
1,9,2200.0,2056,2242.0,2141,OO,5564,N586SW,42.0,45.0,28.0,61.0,64.0,SMF,SFO,86,2.0,12.0,0,N,0,0.0,0.0,0.0,0.0,61.0
1,10,1547.0,1540,1729.0,1725,XE,2,N16178,222.0,225.0,209.0,4.0,7.0,OKC,SMF,1342,5.0,8.0,0,N,0,0.0,0.0,0.0,0.0,0.0
1,1,1934.0,1835,2145.0,2040,WN,1828,N357SW,131.0,125.0,119.0,65.0,59.0,ORF,MCO,655,3.0,9.0,0,N,0,0.0,0.0,6.0,0.0,59.0
1,4,1320.0,1220,1613.0,1534,CO,820,N14639,233.0,254.0,199.0,39.0,60.0,JFK,IAH,1417,11.0,23.0,0,N,0,5.0,0.0,0.0,0.0,34.0
1,14,1140.0,1120,1419.0,1408,EV,4501,N936EV,99.0,108.0,77.0,11.0,20.0,PIA,ATL,564,6.0,16.0,0,N,0,0.0,0.0,0.0,0.0,0.0
1,22,1634.0,1625,1744.0,1745,WN,3326,N610WN,70.0,80.0,59.0,-1.0,9.0,BWI,MHT,377,4.0,7.0,0,N,0,0.0,0.0,0.0,0.0,0.0
1,23,1719.0,1340,1931.0,1550,AA,862,N248AA,192.0,190.0,170.0,221.0,219.0,PBI,ORD,1144,12.0,10.0,0,N,0,0.0,0.0,17.0,0.0,204.0
1,2,1457.0,1435,1625.0,1550,WN,2124,N606SW,148.0,135.0,117.0,35.0,22.0,AUS,DEN,775,21.0,10.0,0,N,0,7.0,0.0,13.0,0.0,15.0
1,9,1348.0,1335,1633.0,1628,B6,51,N633JB,165.0,173.0,147.0,5.0,13.0,JFK,PBI,1028,3.0,15.0,0,N,0,0.0,0.0,0.0,0.0,0.0
1,2,2020.0,2005,2134.0,2105,F9,589,N940FR,134.0,120.0,89.0,29.0,15.0,DFW,DEN,641,33.0,12.0,0,N,0,0.0,0.0,18.0,0.0,11.0
1,8,2010.0,1755,2228.0,1955,AA,408,N492AA,138.0,120.0,88.0,153.0,135.0,TUL,ORD,585,5.0,45.0,0,N,0,0.0,0.0,153.0,0.0,0.0
1,2,1611.0,1510,1859.0,1759,9E,5663,87189E,108.0,109.0,79.0,60.0,61.0,MSP,DAY,574,6.0,23.0,0,N,0,60.0,0.0,0.0,0.0,0.0
1,18,833.0,820,922.0,916,F9,765,N903FR,109.0,116.0,89.0,6.0,13.0,DEN,LAS,629,9.0,11.0,0,N,0,0.0,0.0,0.0,0.0,0.0
1,4,1611.0,1555,1730.0,1710,WN,1413,N740SW,79.0,75.0,66.0,20.0,16.0,SNA,SJC,342,4.0,9.0,0,N,0,0.0,0.0,4.0,0.0,16.0
1,24,703.0,650,805.0,759,OO,5508,N290SW,62.0,69.0,37.0,6.0,13.0,SBP,LAX,155,11.0,14.0,0,N,0,0.0,0.0,0.0,0.0,0.0
1,3,1711.0,1705,2052.0,2055,WN,868,N389SW,161.0,170.0,147.0,-3.0,6.0,PHX,STL,1262,4.0,10.0,0,N,0,0.0,0.0,0.0,0.0,0.0
1,18,1653.0,1633,2042.0,2030,NW,1065,N301NB,169.0,177.0,137.0,12.0,20.0,SAT,DTW,1215,11.0,21.0,0,N,0,0.0,0.0,0.0,0.0,0.0
1,5,1855.0,1730,1911.0,1735,WN,1511,N304SW,76.0,65.0,59.0,96.0,85.0,PHX,SAN,304,3.0,14.0,0,N,0,85.0,0.0,11.0,0.0,0.0
1,21,1012.0,950,1822.0,1818,CO,16,N14231,310.0,328.0,279.0,4.0,22.0,LAX,EWR,2454,12.0,19.0,0,N,0,0.0,0.0,0.0,0.0,0.0
1,26,2134.0,2120,2240.0,2240,MQ,3569,N845AE,66.0,80.0,54.0,0.0,14.0,DFW,CRP,354,4.0,8.0,0,N,0,0.0,0.0,0.0,0.0,0.0
1,3,1903.0,1845,2050.0,2040,EV,4686,N684BR,107.0,115.0,90.0,10.0,18.0,CAE,LGA,617,5.0,12.0,0,N,0,0.0,0.0,0.0,0.0,0.0
1,2,2002.0,1940,2132.0,2055,MQ,4325,N680AE,150.0,135.0,106.0,37.0,22.0,CLT,ORD,599,25.0,19.0,0,N,0,0.0,0.0,16.0,0.0,21.0
1,15,1457.0,1334,2054.0,1930,UA,628,N571UA,237.0,236.0,205.0,84.0,83.0,SAN,ORD,1723,8.0,24.0,0,N,0,0.0,0.0,1.0,0.0,83.0
1,27,1423.0,1315,1610.0,1517,US,780,N938UW,287.0,302.0,271.0,53.0,68.0,CLT,LAS,1916,5.0,11.0,0,N,0,0.0,0.0,51.0,0.0,2.0
1,31,2036.0,1625,2151.0,1755,XE,2629,N11548,75.0,90.0,62.0,236.0,251.0,GSP,CLE,450,4.0,9.0,0,N,0,236.0,0.0,0.0,0.0,0.0
1,20,1956.0,1942,2234.0,2229,F9,780,N805FR,98.0,107.0,83.0,5.0,14.0,LAS,DEN,629,5.0,10.0,0,N,0,0.0,0.0,0.0,0.0,0.0
1,17,1455.0,1400,1732.0,1620,AA,1447,N241AA,157.0,140.0,136.0,72.0,55.0,ORD,MSY,837,4.0,17.0,0,N,0,52.0,3.0,17.0,0.0,0.0
1,24,2010.0,1915,2217.0,2103,OH,5350,N957CA,127.0,108.0,56.0,74.0,55.0,RDU,LGA,431,65.0,6.0,0,N,0,55.0,0.0,19.0,0.0,0.0
1,17,1506.0,1459,1701.0,1649,FL,576,N893AT,115.0,110.0,86.0,12.0,7.0,FLL,ATL,581,11.0,18.0,0,N,0,0.0,0.0,0.0,0.0,0.0
1,30,1506.0,1448,1622.0,1600,EV,4472,N978EV,136.0,132.0,109.0,22.0,18.0,ATL,ATW,765,4.0,23.0,0,N,0,18.0,0.0,4.0,0.0,0.0
1,3,745.0,730,1027.0,1014,CO,768,N38268,342.0,344.0,299.0,13.0,15.0,EWR,LAS,2227,9.0,34.0,0,N,0,0.0,0.0,0.0,0.0,0.0
1,5,1131.0,1125,0.0,1305,AA,2447,N446AA,0.0,160.0,0.0,0.0,6.0,ORD,MTJ,1081,0.0,38.0,0,N,1,0.0,0.0,0.0,0.0,0.0
1,23,1728.0,1720,14.0,34,NW,326,N353NW,226.0,254.0,209.0,-20.0,8.0,LAX,DTW,1979,6.0,11.0,0,N,0,0.0,0.0,0.0,0.0,0.0
1,1,1111.0,805,1330.0,1010,AA,1675,N4XWAA,139.0,125.0,115.0,200.0,186.0,BNA,DFW,631,9.0,15.0,0,N,0,186.0,0.0,14.0,0.0,0.0
1,29,1040.0,1015,1537.0,1450,OO,6536,N742SK,177.0,155.0,125.0,47.0,25.0,DEN,CVG,1069,11.0,41.0,0,N,0,0.0,0.0,0.0,0.0,47.0
