Month,DayofMonth,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
0,0,1110.0,0,1225.0,0,0,0,0,75.0,78.0,46.0,57.0,60.0,0,0,0,10.0,19.0,0,0,0,0.0,0.0,0.0,0.0,57.0
0,1,1119.0,1,1414.0,1,1,1,1,115.0,120.0,101.0,9.0,14.0,1,1,1,4.0,10.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,2,1134.0,2,1321.0,2,2,2,2,107.0,110.0,94.0,11.0,14.0,2,2,2,3.0,10.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,3,1030.0,3,1540.0,3,3,3,3,190.0,205.0,177.0,-5.0,10.0,3,3,3,3.0,10.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,4,927.0,4,1052.0,4,2,4,4,85.0,85.0,63.0,17.0,17.0,3,4,4,9.0,13.0,0,0,0,7.0,0.0,0.0,0.0,10.0
0,5,2200.0,5,2242.0,5,4,5,5,42.0,45.0,28.0,61.0,64.0,4,5,5,2.0,12.0,0,0,0,0.0,0.0,0.0,0.0,61.0
0,6,1547.0,6,1729.0,6,5,6,6,222.0,225.0,209.0,4.0,7.0,5,6,6,5.0,8.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,3,1934.0,7,2145.0,7,1,7,7,131.0,125.0,119.0,65.0,59.0,6,7,7,3.0,9.0,0,0,0,0.0,0.0,6.0,0.0,59.0
0,7,1320.0,8,1613.0,8,6,8,8,233.0,254.0,199.0,39.0,60.0,7,8,8,11.0,23.0,0,0,0,5.0,0.0,0.0,0.0,34.0
0,8,1140.0,2,1419.0,9,7,9,9,99.0,108.0,77.0,11.0,20.0,8,9,9,6.0,16.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,9,1634.0,9,1744.0,10,1,10,10,70.0,80.0,59.0,-1.0,9.0,9,10,10,4.0,7.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,10,1719.0,10,1931.0,11,3,11,11,192.0,190.0,170.0,221.0,219.0,10,11,11,12.0,10.0,0,0,0,0.0,0.0,17.0,0.0,204.0
0,11,1457.0,11,1625.0,11,1,12,12,148.0,135.0,117.0,35.0,22.0,11,12,12,21.0,10.0,0,0,0,7.0,0.0,13.0,0.0,15.0
0,5,1348.0,12,1633.0,12,8,13,13,165.0,173.0,147.0,5.0,13.0,7,13,13,3.0,15.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,11,2020.0,13,2134.0,13,9,14,14,134.0,120.0,89.0,29.0,15.0,12,12,14,33.0,12.0,0,0,0,0.0,0.0,18.0,0.0,11.0
0,12,2010.0,14,2228.0,14,3,15,15,138.0,120.0,88.0,153.0,135.0,13,11,15,5.0,45.0,0,0,0,0.0,0.0,153.0,0.0,0.0
