Month,origin_long,origin_lat,dest_lat,dest_long,ArrDelay
1,-81.85,41.412,38.944,-77.456,57.0
1,-95.279,29.645,27.975,-82.53299999999999,9.0
1,-87.904,41.979,34.729,-92.22399999999999,11.0
1,-121.929,37.361999999999995,32.896,-97.037,-5.0
1,-121.929,37.361999999999995,32.733000000000004,-117.189,17.0
1,-121.59100000000001,38.695,37.619,-122.375,61.0
1,-97.601,35.393,38.695,-121.59100000000001,4.0
1,-76.20100000000001,36.894,28.429000000000002,-81.316,65.0
1,-73.779,40.64,29.98,-95.34,39.0
1,,,,,11.0
1,-76.668,39.175,,,-1.0
1,-80.096,26.683000000000003,41.979,-87.904,221.0
1,-97.67,30.194000000000003,39.858000000000004,-104.667,35.0
1,-73.779,40.64,26.683000000000003,-80.096,5.0
1,-97.037,32.896,39.858000000000004,-104.667,29.0
1,-95.88799999999999,36.198,41.979,-87.904,153.0
1,-93.21700000000001,44.88,39.902,-84.219,60.0
1,-104.667,39.858000000000004,36.08,-115.152,6.0
1,-117.868,33.676,37.361999999999995,-121.929,20.0
1,,,,,6.0
1,-112.008,33.434,38.748000000000005,-90.36,-3.0
1,-98.47,29.534000000000002,42.211999999999996,-83.353,12.0
1,-112.008,33.434,32.733000000000004,-117.189,96.0
1,-118.40799999999999,33.942,40.692,-74.169,4.0
1,-97.037,32.896,27.77,-97.501,0.0
1,-81.119,33.939,40.777,-73.872,10.0
1,-80.943,35.214,41.979,-87.904,37.0
1,-117.189,32.733000000000004,41.979,-87.904,84.0
1,-80.943,35.214,36.08,-115.152,53.0
1,,,,,236.0
1,-115.152,36.08,39.858000000000004,-104.667,5.0
1,-87.904,41.979,29.993000000000002,-90.258,72.0
1,-78.78699999999999,35.876999999999995,40.777,-73.872,74.0
1,-80.153,26.072,33.64,-84.427,12.0
1,-84.427,33.64,,,22.0
1,-74.169,40.692,36.08,-115.152,13.0
1,-87.904,41.979,,,0.0
1,-118.40799999999999,33.942,42.211999999999996,-83.353,-20.0
1,-86.678,36.124,32.896,-97.037,200.0
1,-104.667,39.858000000000004,39.046,-84.662,47.0
1,-115.152,36.08,39.858000000000004,-104.667,31.0
1,-122.375,37.619,21.316,-157.92700000000002,347.0
1,-95.279,29.645,33.563,-86.75299999999999,3.0
1,-75.241,39.872,41.786,-87.75200000000001,-20.0
1,-87.75200000000001,41.786,,,-10.0
1,-104.667,39.858000000000004,32.896,-97.037,2.0
1,-97.037,32.896,36.08,-115.152,86.0
1,-74.169,40.692,29.98,-95.34,1.0
1,-84.427,33.64,43.646,-70.309,24.0
1,-80.943,35.214,38.748000000000005,-90.36,48.0
1,-115.152,36.08,45.589,-122.59700000000001,22.0
1,-87.904,41.979,35.876999999999995,-78.78699999999999,51.0
1,-104.667,39.858000000000004,29.98,-95.34,15.0
1,-78.732,42.94,35.214,-80.943,32.0
1,-87.904,41.979,35.812,-83.993,36.0
1,-80.153,26.072,40.692,-74.169,30.0
1,-97.037,32.896,37.619,-122.375,25.0
1,-96.852,32.847,35.393,-97.601,4.0
1,-96.36399999999999,30.588,32.896,-97.037,38.0
1,-97.037,32.896,33.942,-118.40799999999999,5.0
1,-90.36,38.748000000000005,33.64,-84.427,68.0
1,-84.427,33.64,30.194000000000003,-97.67,5.0
1,-121.59100000000001,38.695,34.201,-118.359,105.0
